file,title,composer,film,year,genre,director,valence,arousal,familiarity
anotherrounddrukschubertfantasieinfmolld940fantasyinfminorsample2mp3.mp3,"Fantasie in f Moll, D 940",Franz Schubert,Another Round,2020.0,"Comedy, Drama",Thomas Vinterberg,0.0,0.0,not-sure
anotherrounddrukschubertfantasieinfmolld940fantasyinfminorsample2mp3.mp3,"Fantasie in f Moll, D 940",Franz Schubert,Another Round,2020.0,"Comedy, Drama",Thomas Vinterberg,-0.27398,0.25078,not-sure
davidalvarezsharkslaborinquenafelixastolarteslolarodriguezdetiodavidnewmanmattsullivanjeaninetesoriwestsidestorysample2mp3.mp3,La Borinqueña (Sharks Version),"Félix Astol Artés, Lola Rodríguez de Tió, David Newman, Matt Sullivan, Jeanine Tesori",West Side Story,2021.0,Crime Drama Musical,Steven Spielberg,0.0,0.0,not-sure
davidalvarezsharkslaborinquenafelixastolarteslolarodriguezdetiodavidnewmanmattsullivanjeaninetesoriwestsidestorysample2mp3.mp3,La Borinqueña (Sharks Version),"Félix Astol Artés, Lola Rodríguez de Tió, David Newman, Matt Sullivan, Jeanine Tesori",West Side Story,2021.0,Crime Drama Musical,Steven Spielberg,0.79602,0.15578,not-sure
elisasthemealexandredesplattheshapeofwatersample2mp3.mp3,Elisa's Theme,Alexandre Desplat,The Shape of Water,2018.0,Drama Fantasy Romance,Guillermo del Toro,0.0,0.0,not-sure
elisasthemealexandredesplattheshapeofwatersample2mp3.mp3,Elisa's Theme,Alexandre Desplat,The Shape of Water,2018.0,Drama Fantasy Romance,Guillermo del Toro,-0.57398,-0.30422,not-sure
johnwilliamsthefabelmanssample2mp3.mp3,The Fabelmans,John Williams,The Fabelmans,2023.0,Drama,Steven Spielberg,0.0,0.0,not-sure
johnwilliamsthefabelmanssample2mp3.mp3,The Fabelmans,John Williams,The Fabelmans,2023.0,Drama,Steven Spielberg,-0.19398,-0.65922,not-sure
marriedlifemichaelgiacchinoupsample1mp3.mp3,Married Life,Michael Giacchino,Up,2009.0,Animation Adventure Comedy,"Pete Docter, Bob Peterson",0.0,0.0,definitely-familiar
marriedlifemichaelgiacchinoupsample1mp3.mp3,Married Life,Michael Giacchino,Up,2009.0,Animation Adventure Comedy,"Pete Docter, Bob Peterson",-0.12898,-0.73422,definitely-familiar
pawelmykietynthebeginningeosample1mp3.mp3,The Beginning,Pawel Mykietyn,EO,2022.0,Drama,Jerzy Skolimowski,0.0,0.0,not-sure
pawelmykietynthebeginningeosample1mp3.mp3,The Beginning,Pawel Mykietyn,EO,2022.0,Drama,Jerzy Skolimowski,0.55602,0.14078,not-sure
singaporehanszimmerpiratesofthecaribbeanatworldsendsample2mp3.mp3,Singapore,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski,0.0,0.0,not-sure
singaporehanszimmerpiratesofthecaribbeanatworldsendsample2mp3.mp3,Singapore,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski,0.80102,0.29578,not-sure
